x y z risk twi slope
472.275 4315.27 -120 -0.06 0 0
473.355 4315.27 -120 -0.06 0 0
474.435 4315.27 -120 -0.06 0 0
475.515 4315.27 -120 -0.06 0 0
476.595 4315.27 -120 -0.06 0 0
477.675 4315.27 -120 -0.06 0 0
478.755 4315.27 -120 -0.06 0 0
479.835 4315.27 -120 -0.06 0 0
480.915 4315.27 -120 -0.06 0 0
481.995 4315.27 -120 -0.06 0 0
483.075 4315.27 128.045 0.531023 7.54415 11.2609
484.155 4315.27 266.869 0.564942 8.01812 17.9342
485.235 4315.27 484.919 0.570235 8.05328 5.93363
486.315 4315.27 483.281 0.488844 7.91858 18.8961
487.395 4315.27 614.781 0.556936 7.91138 2.44306
488.475 4315.27 464.09 0.539648 8.84385 6.91419
489.555 4315.27 441.146 0.47294 8.59876 13.8252
490.635 4315.27 353.517 0.548832 8.08059 2.16327
491.715 4315.27 239.155 0.46673 10.386 2.67427
492.795 4315.27 153.191 0.629719 8.054 16.8172
493.875 4315.27 97.479 0.522741 8.95689 1.83905
494.955 4315.27 46.1888 0.501925 9.84709 2.94783
496.035 4315.27 22.3966 0.444835 11.0949 1.42809
497.115 4315.27 23.3374 0.485773 9.39566 2.82637
498.195 4315.27 5.79739 0.374736 13.5806 0.499322
499.275 4315.27 4.55576 0.465202 10.4451 0.266916
500.355 4315.27 4.18447 0.463451 10.4451 0.153464
501.435 4315.27 4.8716 0.462815 10.4451 0.143215
502.515 4315.27 5.32878 0.322245 15.2326 0.193852
503.595 4315.27 5.74722 0.389288 12.843 0.470025
504.675 4315.27 20.0774 0.376587 12.7182 2.90938
505.755 4315.27 82.8809 0.525177 8.37973 2.13687
506.835 4315.27 56.2164 0.40543 13.0879 5.08683
507.915 4315.27 120.188 0.41978 12.5822 7.78116
508.995 4315.27 166.038 0.544997 8.91897 8.6442
510.075 4315.27 214.191 0.502114 8.90642 6.66453
511.155 4315.27 229.222 0.506599 9.37303 4.94035
512.235 4315.27 177.78 0.461482 8.5091 10.8665
513.315 4315.27 148.684 0.496572 8.6871 3.05747
514.395 4315.27 240.404 0.479427 8.31741 8.28092
515.475 4315.27 251.376 0.467427 8.48974 10.8378
516.555 4315.27 400.776 0.525348 8.42451 7.37546
517.635 4315.27 262.014 0.405779 12.5985 18.7724
518.715 4315.27 417.647 0.50872 8.19134 3.76416
519.795 4315.27 251.704 0.467236 9.03775 18.1061
520.875 4315.27 241.129 0.424887 10.515 11.7661
521.955 4315.27 403.149 0.497573 8.06397 7.03727
523.035 4315.27 326.73 0.384126 14.179 11.2297
524.115 4315.27 473.615 0.530391 8.20595 6.7815
525.195 4315.27 489.982 0.576561 7.37164 11.1154
526.275 4315.27 310.566 0.498353 8.66849 11.9111
527.355 4315.27 588.529 0.495714 7.93103 9.90474
528.435 4315.27 291.632 0.555913 8.2614 18.9928
529.515 4315.27 332.661 0.432862 9.34295 14.6758
530.595 4315.27 370.072 0.411307 12.7983 22.3603
531.675 4315.27 672.574 0.594887 7.51577 7.90899
532.755 4315.27 660.653 0.515308 7.99177 18.2919
533.835 4315.27 632.404 0.585347 8.10154 19.3265
534.915 4315.27 683.052 0.526015 8.12939 5.39723
535.995 4315.27 675.683 0.564078 8.83885 13.1276
537.075 4315.27 720.953 0.476991 9.31725 5.39336
538.155 4315.27 832.457 0.596146 7.72841 15.5595
539.235 4315.27 711.45 0.486172 8.39736 12.3711
540.315 4315.27 490.625 0.607118 8.53693 27.8511
541.395 4315.27 473.243 0.496623 9.15147 6.32924
542.475 4315.27 435.534 0.504663 8.56801 7.75256
543.555 4315.27 452.777 0.543746 8.68145 4.64994
544.635 4315.27 477.549 0.530747 8.85253 3.91782
545.715 4315.27 482.92 0.527787 8.9464 3.28155
546.795 4315.27 408.595 0.43401 10.759 8.06629
547.875 4315.27 425.554 0.529688 8.37254 5.67956
548.955 4315.27 298.386 0.481543 10.5425 4.94006
550.035 4315.27 311 0.608486 8.26403 13.1452
551.115 4315.27 277.659 0.548983 8.99308 8.31401
552.195 4315.27 225.016 0.413436 12.1801 1.82287
553.275 4315.27 283.785 0.556572 8.29332 5.6268
554.355 4315.27 240.132 0.420543 11.8679 2.38926
555.435 4315.27 264.367 0.490673 10.0796 5.71324
556.515 4315.27 268.534 0.520256 8.6491 1.5829
557.595 4315.27 226.606 0.43857 11.4397 6.34234
558.675 4315.27 204.993 0.409374 12.7656 4.60559
559.755 4315.27 259.284 0.505754 9.24611 2.75877
560.835 4315.27 252.44 0.460717 10.7898 3.07455
561.915 4315.27 275.989 0.531554 8.82036 5.25729
562.995 4315.27 189.676 0.504942 9.05155 3.79955
564.075 4315.27 163.893 0.422354 11.8768 1.94463
565.155 4315.27 178.481 0.493151 9.17603 6.3099
566.235 4315.27 136.001 0.444489 11.2079 2.63878
567.315 4315.27 115.068 0.414895 11.8314 0.870563
568.395 4315.27 112.11 0.39362 12.5246 0.532308
569.475 4315.27 106.758 0.366298 13.3355 0.548826
570.555 4315.27 110.308 0.452002 10.4451 0.380691
571.635 4315.27 113.781 0.431815 11.1383 0.472263
572.715 4315.27 117.21 0.448471 10.4451 0.383254
573.795 4315.27 121.069 0.449692 10.4451 0.593717
574.875 4315.27 124.877 0.450326 10.4451 0.670494
575.955 4315.27 144.919 0.467382 9.92394 1.83232
577.035 4315.27 229.083 0.534786 7.99078 11.6169
578.115 4315.27 321.075 0.503767 9.15082 8.04937
579.195 4315.27 354.542 0.502211 9.27647 8.6848
580.275 4315.27 478.054 0.483054 8.77591 2.37971
581.355 4315.27 445.521 0.414597 12.5572 6.15684
582.435 4315.27 623.719 0.548715 8.01277 8.37535
583.515 4315.27 658.357 0.510508 8.88752 7.30619
584.595 4315.27 692.149 0.601719 8.01432 14.7729
585.675 4315.27 754.577 0.548863 8.55273 11.187
586.755 4315.27 803.415 0.598796 7.41918 17.4085
587.835 4315.27 909.004 0.49235 8.32693 7.46721
588.915 4315.27 1023.98 0.685979 8.14958 24.2305
589.995 4315.27 908.518 0.539321 7.89415 9.10935
591.075 4315.27 803.595 0.454539 9.32945 2.54607
592.155 4315.27 819.93 0.490652 8.54081 6.42459
593.235 4315.27 671.441 0.510046 11.2417 20.562
594.315 4315.27 788.098 0.485681 7.71293 13.0256
595.395 4315.27 878.912 0.432015 8.4523 17.2416
596.475 4315.27 866.616 0.468801 7.94615 10.535
597.555 4315.27 772.302 0.474124 9.67093 3.73904
598.635 4315.27 748.397 0.470628 8.94545 5.23255
599.715 4315.27 675.195 0.52161 8.7679 9.43696
600.795 4315.27 629.478 0.40591 12.2231 4.39953
601.875 4315.27 884.085 0.481069 8.53707 2.90364
602.955 4315.27 834.719 0.589554 7.79288 14.0041
604.035 4315.27 873.886 0.564987 7.86019 19.9301
605.115 4315.27 972.404 0.548224 7.81899 7.78296

456.075 4314.19 5.5022 0.508928 11.5425 2.39028
457.155 4314.19 14.1806 0.563686 8.63306 10.2594
458.235 4314.19 63.1931 0.624902 7.69327 16.2304
459.315 4314.19 32.4635 0.51668 9.7085 11.6879
460.395 4314.19 23.2103 0.596243 8.59463 4.00843
461.475 4314.19 -120 -0.06 0 0
462.555 4314.19 -120 -0.06 0 0
463.635 4314.19 -120 -0.06 0 0
464.715 4314.19 -120 -0.06 0 0
465.795 4314.19 -120 -0.06 0 0
466.875 4314.19 -120 -0.06 0 0
467.955 4314.19 -120 -0.06 0 0
