fpr_fusion tpr_fusion fpr_beta tpr_beta fpr_gamma tpr_gamma
0 0.90917969 0 0.90917969 0 0.90917969
0 0.91503906 0 0.91503906 0 0.91503906
0 0.92089844 0 0.92089844 0 0.92089844
0 0.92675781 0 0.92675781 0 0.92675781
0 0.93261719 0 0.93261719 0 0.93261719
0 0.93847656 0 0.93847656 0 0.93847656
0 0.94433594 0 0.94433594 0 0.94433594
0 0.95019531 0 0.95019531 0 0.95019531
0 0.95605469 0 0.95605469 0 0.95605469
0 0.96191406 0 0.96191406 0 0.96191406
0 0.96777344 0 0.96777344 0 0.96777344
0 0.97363281 0 0.97363281 0 0.97363281
0 0.97949219 0 0.97949219 0 0.97949219
0 0.98535156 0 0.98535156 0 0.98535156
0 0.99121094 0 0.99121094 0 0.99121094
0 0.99707031 0 0.99707031 0 0.99707031
0.0029296875 1 0.0029296875 1 0.0029296875 1
0.0087890625 1 0.0087890625 1 0.0087890625 1
0.014648438 1 0.014648438 1 0.014648438 1
0.020507812 1 0.020507812 1 0.020507812 1
0.026367188 1 0.026367188 1 0.026367188 1
0.032226562 1 0.032226562 1 0.032226562 1
0.038085938 1 0.038085938 1 0.038085938 1
0.043945312 1 0.043945312 1 0.043945312 1
0.049804688 1 0.049804688 1 0.049804688 1
0.055664062 1 0.055664062 1 0.055664062 1
0.061523438 1 0.061523438 1 0.061523438 1
0.067382812 1 0.067382812 1 0.067382812 1
0.073242188 1 0.073242188 1 0.073242188 1
0.079101562 1 0.079101562 1 0.079101562 1
0.084960938 1 0.084960938 1 0.084960938 1
0.090820312 1 0.090820312 1 0.090820312 1
0.096679688 1 0.096679688 1 0.096679688 1
0.10253906 1 0.10253906 1 0.10253906 1
0.10839844 1 0.10839844 1 0.10839844 1
0.11425781 1 0.11425781 1 0.11425781 1
0.12011719 1 0.12011719 1 0.12011719 1
0.12597656 1 0.12597656 1 0.12597656 1
0.13183594 1 0.13183594 1 0.13183594 1
0.13769531 1 0.13769531 1 0.13769531 1
0.14355469 1 0.14355469 1 0.14355469 1
0.14941406 1 0.14941406 1 0.14941406 1
0.15527344 1 0.15527344 1 0.15527344 1
0.16113281 1 0.16113281 1 0.16113281 1
0.16699219 1 0.16699219 1 0.16699219 1
0.17285156 1 0.17285156 1 0.17285156 1
0.17871094 1 0.17871094 1 0.17871094 1
0.18457031 1 0.18457031 1 0.18457031 1
0.19042969 1 0.19042969 1 0.19042969 1
0.19628906 1 0.19628906 1 0.19628906 1
0.20214844 1 0.20214844 1 0.20214844 1
0.20800781 1 0.20800781 1 0.20800781 1
0.21386719 1 0.21386719 1 0.21386719 1
0.21972656 1 0.21972656 1 0.21972656 1
0.22558594 1 0.22558594 1 0.22558594 1
0.23144531 1 0.23144531 1 0.23144531 1
0.23730469 1 0.23730469 1 0.23730469 1
0.24316406 1 0.24316406 1 0.24316406 1
0.24902344 1 0.24902344 1 0.24902344 1
0.25488281 1 0.25488281 1 0.25488281 1
0.26074219 1 0.26074219 1 0.26074219 1
0.26660156 1 0.26660156 1 0.26660156 1
0.27246094 1 0.27246094 1 0.27246094 1
0.27832031 1 0.27832031 1 0.27832031 1
0.28417969 1 0.28417969 1 0.28417969 1
0.29003906 1 0.29003906 1 0.29003906 1
0.29589844 1 0.29589844 1 0.29589844 1
0.30175781 1 0.30175781 1 0.30175781 1
0.30761719 1 0.30761719 1 0.30761719 1
0.31347656 1 0.31347656 1 0.31347656 1
0.31933594 1 0.31933594 1 0.31933594 1
0.32519531 1 0.32519531 1 0.32519531 1
0.33105469 1 0.33105469 1 0.33105469 1
0.33691406 1 0.33691406 1 0.33691406 1
0.34277344 1 0.34277344 1 0.34277344 1
0.34863281 1 0.34863281 1 0.34863281 1
0.35449219 1 0.35449219 1 0.35449219 1
0.36035156 1 0.36035156 1 0.36035156 1
0.36621094 1 0.36621094 1 0.36621094 1
