t Tsurf Tprobe theta lnR dTdt dlnR
1.3222222 12.949254 17.738946 0.15026088 7.706954 -0.21469918 0.00058330305
1.3319444 12.938459 17.726437 0.15025677 7.707294 -0.21418098 0.00058214939
1.3416667 12.927724 17.713957 0.15025265 7.7076332 -0.21366229 0.00058099382
1.3513889 12.917047 17.701509 0.15024854 7.7079718 -0.21314308 0.0005798363
1.3611111 12.906428 17.68909 0.15024443 7.7083097 -0.21262335 0.00057867682
1.3708333 12.895869 17.676702 0.15024033 7.708647 -0.21210308 0.00057751534
1.3805556 12.885369 17.664344 0.15023623 7.7089835 -0.21158226 0.00057635185
1.3902778 12.874928 17.652016 0.15023213 7.7093194 -0.21106087 0.00057518633
1.4 12.864545 17.639719 0.15022804 7.7096546 -0.21053891 0.00057401875
1.4097222 12.854222 17.627453 0.15022395 7.7099891 -0.21001636 0.00057284909
1.4194444 12.843959 17.615216 0.15021986 7.710323 -0.20949321 0.00057167733
1.4291667 12.833754 17.603011 0.15021578 7.7106561 -0.20896945 0.00057050345
1.4388889 12.823609 17.590836 0.1502117 7.7109886 -0.20844507 0.00056932743
1.4486111 12.813524 17.578691 0.15020762 7.7113204 -0.20792005 0.00056814925
1.4583333 12.803498 17.566578 0.15020355 7.7116514 -0.20739439 0.00056696889
1.4680556 12.793531 17.554494 0.15019948 7.7119819 -0.20686808 0.00056578634
1.4777778 12.783625 17.542442 0.15019542 7.7123116 -0.2063411 0.00056460158
1.4875 12.773777 17.53042 0.15019135 7.7126406 -0.20581345 0.00056341459
1.4972222 12.76399 17.51843 0.1501873 7.7129689 -0.20528512 0.00056222536
1.5069444 12.754263 17.506469 0.15018324 7.7132965 -0.2047561 0.00056103386
1.5166667 12.744595 17.49454 0.15017919 7.7136235 -0.20422638 0.00055984009
1.5263889 12.734987 17.482642 0.15017514 7.7139497 -0.20369595 0.00055864403
1.5361111 12.72544 17.470775 0.1501711 7.7142753 -0.20316481 0.00055744566
1.5458333 12.715952 17.458938 0.15016706 7.7146001 -0.20263295 0.00055624497
1.5555556 12.706525 17.447133 0.15016302 7.7149243 -0.20210035 0.00055504195
1.5652778 12.697158 17.435359 0.15015899 7.7152477 -0.20156701 0.00055383658
1.575 12.687851 17.423616 0.15015496 7.7155704 -0.20103293 0.00055262885
1.5847222 12.678604 17.411904 0.15015093 7.7158925 -0.2004981 0.00055141875
1.5944444 12.669418 17.400224 0.15014691 7.7162138 -0.19996251 0.00055020626
1.6041667 12.660292 17.388574 0.15014289 7.7165344 -0.19942616 0.00054899138
1.6138889 12.651227 17.376956 0.15013887 7.7168543 -0.19888903 0.00054777409
1.6236111 12.642222 17.365369 0.15013486 7.7171735 -0.19835113 0.00054655439
1.6333333 12.633278 17.353814 0.15013085 7.717492 -0.19781244 0.00054533225
1.6430556 12.624395 17.34229 0.15012684 7.7178098 -0.19727297 0.00054410768
1.6527778 12.615572 17.330798 0.15012284 7.7181268 -0.1967327 0.00054288066
1.6625 12.60681 17.319337 0.15011884 7.7184432 -0.19619163 0.00054165118
1.6722222 12.598109 17.307908 0.15011484 7.7187588 -0.19564975 0.00054041924
1.6819444 12.589469 17.29651 0.15011085 7.7190737 -0.19510707 0.00053918482
1.6916667 12.58089 17.285144 0.15010686 7.7193879 -0.19456358 0.00053794791
1.7013889 12.572372 17.27381 0.15010288 7.7197013 -0.19401926 0.00053670852
1.7111111 12.563915 17.262507 0.15009889 7.7200141 -0.19347412 0.00053546662
1.7208333 12.555519 17.251236 0.15009491 7.7203261 -0.19292816 0.00053422222
1.7305556 12.547184 17.239998 0.15009094 7.7206374 -0.19238136 0.0005329753
1.7402778 12.538911 17.228791 0.15008697 7.7209479 -0.19183373 0.00053172586
1.75 12.530699 17.217616 0.150083 7.7212577 -0.19128526 0.00053047389
1.7597222 12.522548 17.206473 0.15007903 7.7215668 -0.19073595 0.00052921938
1.7694444 12.514458 17.195362 0.15007507 7.7218752 -0.19018579 0.00052796234
1.7791667 12.50643 17.184283 0.15007111 7.7221828 -0.18963479 0.00052670275
1.7888889 12.498464 17.173237 0.15006716 7.7224897 -0.18908293 0.00052544061
1.7986111 12.490559 17.162223 0.15006321 7.7227959 -0.18853021 0.00052417591
1.8083333 12.482716 17.151241 0.15005926 7.7231013 -0.18797664 0.00052290865
1.8180556 12.474934 17.140291 0.15005531 7.723406 -0.1874222 0.00052163882
1.8277778 12.467214 17.129373 0.15005137 7.7237099 -0.1868669 0.00052036642
1.8375 12.459556 17.118488 0.15004743 7.7240131 -0.18631074 0.00051909145
1.8472222 12.45196 17.107636 0.1500435 7.7243155 -0.1857537 0.00051781389
1.8569444 12.444425 17.096816 0.15003956 7.7246173 -0.18519579 0.00051653375
1.8666667 12.436952 17.086028 0.15003564 7.7249182 -0.18463701 0.00051525103
1.8763889 12.429542 17.075274 0.15003171 7.7252184 -0.18407736 0.00051396572
1.8861111 12.422193 17.064552 0.15002779 7.7255179 -0.18351682 0.00051267781
1.8958333 12.414906 17.053862 0.15002387 7.7258166 -0.18295541 0.00051138731
1.9055556 12.407682 17.043205 0.15001996 7.7261145 -0.18239312 0.00051009421
1.9152778 12.40052 17.032582 0.15001604 7.7264117 -0.18182994 0.00050879851
1.925 12.393419 17.021991 0.15001213 7.7267082 -0.18126588 0.0005075002
1.9347222 12.386381 17.011433 0.15000823 7.7270038 -0.18070093 0.00050619929
1.9444444 12.379406 17.000908 0.15000433 7.7272988 -0.18013509 0.00050489578
1.9541667 12.372492 16.990416 0.15000043 7.7275929 -0.17956837 0.00050358966
1.9638889 12.365641 16.979957 0.14999653 7.7278863 -0.17900075 0.00050228092
1.9736111 12.358853 16.969531 0.14999264 7.728179 -0.17843225 0.00050096958
1.9833333 12.352127 16.959138 0.14998875 7.7284708 -0.17786285 0.00049965563
1.9930556 12.345463 16.948779 0.14998487 7.7287619 -0.17729256 0.00049833907
2.0027778 12.338862 16.938453 0.14998098 7.7290523 -0.17672137 0.00049701989
2.0125 12.332324 16.92816 0.1499771 7.7293418 -0.17614929 0.0004956981
2.0222222 12.325848 16.917901 0.14997323 7.7296306 -0.17557631 0.0004943737
2.0319444 12.319435 16.907675 0.14996936 7.7299186 -0.17500244 0.00049304668
2.0416667 12.313084 16.897483 0.14996549 7.7302059 -0.17442767 0.00049171705
2.0513889 12.306797 16.887324 0.14996162 7.7304923 -0.173852 0.00049038481
2.0611111 12.300572 16.877199 0.14995776 7.730778 -0.17327544 0.00048904996
2.0708333 12.29441 16.867107 0.1499539 7.7310629 -0.17269798 0.0004877125
2.0805556 12.28831 16.857049 0.14995004 7.7313471 -0.17211962 0.00048637243
2.0902778 12.282274 16.847025 0.14994619 7.7316304 -0.17154036 0.00048502975
2.1 12.276301 16.837035 0.14994234 7.731913 -0.1709602 0.00048368446
2.1097222 12.27039 16.827079 0.14993849 7.7321947 -0.17037914 0.00048233657
2.1194444 12.264543 16.817156 0.14993465 7.7324757 -0.16979719 0.00048098607
2.1291667 12.258759 16.807268 0.14993081 7.7327559 -0.16921434 0.00047963297
2.1388889 12.253038 16.797413 0.14992697 7.7330353 -0.16863059 0.00047827727
2.1486111 12.24738 16.787593 0.14992314 7.7333139 -0.16804594 0.00047691897
2.1583333 12.241785 16.777807 0.1499193 7.7335918 -0.16746039 0.00047555808
2.1680556 12.236254 16.768055 0.14991548 7.7338688 -0.16687395 0.00047419459
2.1777778 12.230785 16.758337 0.14991165 7.734145 -0.16628661 0.00047282851
2.1875 12.22538 16.748653 0.14990783 7.7344205 -0.16569837 0.00047145984
