t Tsurf Tprobe theta dTdt dlnR
6.0277778 38 38.160757 0.13321103 -0.018688529 9.2863237e-05
6.0666667 38 38.156397 0.13320384 -0.018579503 9.2777685e-05
6.1055556 38 38.152068 0.13319666 -0.018461663 6.8094253e-05
6.1444444 38 38.147779 0.1331895 -0.018321689 6.7702091e-05
6.1833333 38 38.143524 0.13318235 -0.018182606 6.7337962e-05
6.2222222 38 38.139298 0.13317521 -0.018059135 6.6992014e-05
6.2611111 38 38.135099 0.13316809 -0.017946158 6.6659049e-05
6.3 38 38.130925 0.13316098 -0.017838565 6.6336066e-05
6.3388889 38 38.126775 0.13315388 -0.017733693 6.6021208e-05
6.3777778 38 38.122649 0.13314679 -0.01763032 6.5713253e-05
6.4166667 38 38.118548 0.13313972 -0.017527912 6.5411356e-05
6.4555556 38 38.11447 0.13313266 -0.017426249 6.5114901e-05
6.4944444 38 38.110416 0.13312561 -0.017325252 6.4823428e-05
6.5333333 38 38.106385 0.13311857 -0.017224905 6.4536578e-05
6.5722222 38 38.102378 0.13311154 -0.017125217 6.4254065e-05
6.6111111 38 38.098393 0.13310453 -0.017026208 6.3975658e-05
6.65 38 38.094432 0.13309752 -0.016927897 6.3701165e-05
6.6888889 38 38.090494 0.13309053 -0.016830304 6.3430424e-05
6.7277778 38 38.086578 0.13308355 -0.01673585 0.00010021775
6.7666667 38 38.082685 0.13307658 -0.016657238 0.0001004356
6.8055556 38 38.078813 0.13306962 -0.016577625 0.00010059761
6.8444444 38 38.074949 0.13306268 -0.01648831 0.00010072076
6.8833333 38 38.071105 0.13305574 -0.016392844 6.3913266e-05
6.9222222 38 38.067294 0.13304881 -0.016282669 6.3481866e-05
6.9611111 38 38.063511 0.1330419 -0.016167554 6.3099104e-05
7 38 38.059753 0.133035 -0.01606351 6.2747646e-05
7.0388889 38 38.056017 0.13302811 -0.015968253 6.2418064e-05
7.0777778 38 38.052302 0.13302124 -0.015877689 6.2104704e-05
7.1166667 38 38.048607 0.13301437 -0.015789533 6.1803959e-05
7.1555556 38 38.044934 0.13300751 -0.015702716 6.1513407e-05
7.1944444 38 38.04128 0.13300067 -0.01561676 6.1231354e-05
7.2333333 38 38.037646 0.13299384 -0.015531467 7.5039369e-05
7.2722222 38 38.034032 0.13298701 -0.015449002 8.4851419e-05
7.3111111 38 38.030438 0.1329802 -0.015371082 8.4861306e-05
7.35 38 38.026861 0.1329734 -0.015291037 8.4848666e-05
7.3888889 38 38.0233 0.13296661 -0.015208465 8.4818639e-05
7.4277778 38 38.01976 0.13295982 -0.015123988 6.0698939e-05
7.4666667 38 38.016242 0.13295305 -0.015034696 6.036526e-05
7.5055556 38 38.012745 0.1329463 -0.014947149 6.0053839e-05
7.5444444 38 38.009268 0.13293955 -0.014863771 5.9758734e-05
7.5833333 38 38.00581 0.13293281 -0.014783128 5.9476227e-05
7.6222222 38 38.00237 0.13292608 -0.014704044 5.9203848e-05
7.6611111 38 37.998948 0.13291936 -0.014625929 5.8939875e-05
7.7 38 37.995544 0.13291266 -0.014548516 5.8683061e-05
7.7388889 38 37.992159 0.13290596 -0.014471689 5.8432477e-05
7.7777778 38 37.988791 0.13289928 -0.014395401 5.8187413e-05
7.8166667 38 37.985441 0.1328926 -0.014319636 5.7947316e-05
7.8555556 38 37.982109 0.13288593 -0.01424439 5.7711743e-05
7.8944444 38 37.978794 0.13287928 -0.014169667 5.7480343e-05
7.9333333 38 37.975496 0.13287263 -0.014095468 5.7252823e-05
7.9722222 38 37.972216 0.132866 -0.014021799 5.7028946e-05
8.0111111 38 37.968953 0.13285937 -0.013948659 5.6808511e-05
8.05 38 37.965707 0.13285275 -0.013876052 5.659135e-05
8.0888889 38 37.962478 0.13284615 -0.013803978 5.6377318e-05
8.1277778 38 37.959265 0.13283955 -0.013732434 5.6166291e-05
8.1666667 38 37.956069 0.13283297 -0.013661421 5.5958162e-05
8.2055556 38 37.95289 0.13282639 -0.013590936 5.5752834e-05
8.2444444 38 37.949727 0.13281982 -0.013520975 5.5550224e-05
8.2833333 38 37.94658 0.13281327 -0.013451536 5.5350255e-05
8.3222222 38 37.94345 0.13280672 -0.013382615 5.5152858e-05
8.3611111 38 37.940335 0.13280018 -0.013314208 5.4957969e-05
8.4 38 37.937237 0.13279366 -0.013246309 5.476553e-05
8.4388889 38 37.934154 0.13278714 -0.013178915 5.4575483e-05
8.4777778 38 37.931087 0.13278063 -0.013112022 5.4387776e-05
8.5166667 38 37.928035 0.13277413 -0.013045623 5.4202358e-05
8.5555556 38 37.924999 0.13276764 -0.012979713 5.4019178e-05
8.5944444 38 37.921978 0.13276116 -0.012914289 5.3838187e-05
8.6333333 38 37.918972 0.13275469 -0.012849344 5.3659338e-05
8.6722222 38 37.915982 0.13274823 -0.012784873 5.3482583e-05
8.7111111 38 37.913006 0.13274178 -0.012720871 5.3307874e-05
8.75 38 37.910045 0.13273534 -0.012657333 5.3135163e-05
8.7888889 38 37.907099 0.13272891 -0.012594254 5.2964402e-05
8.8277778 38 37.904168 0.13272248 -0.012531628 5.2795544e-05
8.8666667 38 37.901251 0.13271607 -0.01246945 5.262854e-05
8.9055556 38 37.898349 0.13270967 -0.012407715 5.246334e-05
8.9444444 38 37.895461 0.13270327 -0.012326526 4.8560158e-05
8.9833333 38 37.892588 0.13269689 -0.01137082 3.1708467e-05
9.0222222 38.12799 37.889736 0.13269051 -0.0066071701 8.6180425e-07
9.0611111 38.35196 37.887516 0.13268427 0.0046311768 -4.3733892e-05
9.1 38.575893 37.888646 0.13267868 0.023486209 -9.9920185e-05
9.1388889 38.799766 37.895979 0.13267431 0.049693519 -0.00015702278
9.1777778 39.023557 37.910859 0.13267145 0.080502844 -0.00021157677
9.2166667 39.247241 37.933538 0.13267016 0.11242585 -0.00026278468
9.2555556 39.470797 37.963752 0.13267041 0.14339021 -0.00031048857
9.2944444 39.694199 38.001038 0.13267214 0.17252416 -0.0003548085
9.3333333 39.917426 38.044877 0.13267526 0.19957276 -0.00039597553
9.3722222 40.140455 38.094761 0.13267969 0.22455559 -0.00043425429
9.4111111 40.363261 38.150213 0.13268536 0.24760281 -0.00046990764
9.45 40.585823 38.210802 0.13269219 0.26888065 -0.00050318131
9.4888889 40.808116 38.276136 0.13270013 0.28855851 -0.00053429836
9.5277778 41.030119 38.345863 0.13270913 0.30679522 -0.00056345806
9.5666667 41.251807 38.419667 0.13271913 0.3237341 -0.00059083702
9.6055556 41.473158 38.497263 0.13273009 0.33950205 -0.00061659113
9.6444444 41.69415 38.578395 0.13274198 0.35421036 -0.00064085773
9.6833333 41.914758 38.662828 0.13275476 0.36795618 -0.00066375778
9.7222222 42.134961 38.750351 0.13276841 0.38082418 -0.00068539785
9.7611111 42.354735 38.840769 0.13278288 0.39288812 -0.00070587185
9.8 42.574057 38.933904 0.13279817 0.40421228 -0.00072526261
9.8388889 42.792906 39.029592 0.13281425 0.41485273 -0.00074364319
9.8777778 43.011257 39.127679 0.13283109 0.4248584 -0.000761078
9.9166667 43.22909 39.228023 0.13284869 0.43427201 -0.00077762372
9.9555556 43.44638 39.330493 0.13286701 0.4431308 -0.00079333016
9.9944444 43.663106 39.434963 0.13288604 0.45146721 -0.00080824085
10.033333 43.879244 39.541315 0.13290577 0.45930941 -0.00082239358
10.072222 44.094774 39.649438 0.13292619 0.46668171 -0.00083582084
10.111111 44.309671 39.759225 0.13294727 0.4736049 -0.00084855009
10.15 44.523915 39.870574 0.13296901 0.48009658 -0.00086060396
10.188889 44.737482 39.983386 0.13299139 0.48617128 -0.00087200035
10.227778 44.950351 40.097567 0.13301439 0.49184067 -0.00088275239
10.266667 45.162499 40.213022 0.133038 0.49711356 -0.00089286834
10.305556 45.373905 40.329662 0.13306221 0.50199594 -0.00090235126
10.344444 45.584547 40.447395 0.13308701 0.50649085 -0.00091119859
10.383333 45.794403 40.566132 0.13311237 0.5105983 -0.00091940153
10.422222 46.003451 40.685782 0.13313829 0.51431492 -0.0009269441
10.461111 46.211669 40.806256 0.13316474 0.51763361 -0.000933802
10.5 46.419036 40.927458 0.13319171 0.52054301 -0.00093994091
10.538889 46.62553 41.049294 0.13321918 0.52302679 -0.00094531443
10.577778 46.83113 41.171662 0.13324712 0.52506261 -0.00094986108
10.616667 47.035815 41.294455 0.13327552 0.52662088 -0.00095350045
10.655556 47.239563 41.41756 0.13330435 0.52766292 -0.00095612794
10.694444 47.442353 41.540854 0.13333358 0.52813863 -0.00095760746
10.733333 47.644165 41.664199 0.13336318 0.52798324 -0.0009577616
10.772222 47.844977 41.787442 0.13339311 0.52711282 -0.00095635772
10.811111 48.044769 41.91041 0.13342332 0.52541819 -0.00095308865
10.85 48.243519 42.0329 0.13345376 0.52275631 -0.00094754529
10.888889 48.441208 42.154676 0.13348437 0.51894197 -0.00094042927
10.927778 48.637815 42.275452 0.13351508 0.51401256 -0.00093517728
10.966667 48.833318 42.39488 0.13354578 0.50898993 -0.00093333781
11.005556 49.027699 42.512721 0.13357642 0.50520715 -0.00093586318
11.044444 49.220937 42.629631 0.13360711 0.50361051 -0.00094314837
11.083333 49.413012 42.746697 0.13363812 0.5047327 -0.00095234015
11.122222 49.603903 42.864596 0.13366963 0.50810934 -0.00096174959
11.161111 49.793592 42.983605 0.1337017 0.51259311 -0.00097082054
11.2 49.982059 43.103788 0.13373438 0.51735531 -0.00097932485
11.238889 50.169283 43.225106 0.13376766 0.52197754 -0.00098718055
11.277778 50.355246 43.347481 0.13380153 0.52627797 -0.0009943738
11.316667 50.539929 43.470817 0.13383599 0.53019065 -0.001000922
11.355556 50.723311 43.595018 0.13387101 0.5337036 -0.0010068558
11.394444 50.905375 43.719989 0.13390657 0.53682879 -0.0010122103
11.433333 51.086101 43.845641 0.13394267 0.53958784 -0.0010170208
11.472222 51.265471 43.971891 0.13397928 0.54200524 -0.0010213205
11.511111 51.443466 44.098665 0.13401638 0.5441052 -0.0010251401
11.55 51.620067 44.225889 0.13405396 0.54591028 -0.0010285072
11.588889 51.795256 44.353499 0.13409201 0.54744092 -0.0010314467
11.627778 51.969016 44.481433 0.1341305 0.54871535 -0.0010339806
11.666667 52.141327 44.609633 0.13416944 0.54974971 -0.0010361286
11.705556 52.312173 44.738046 0.13420879 0.55055823 -0.0010379083
11.744444 52.481535 44.86662 0.13424855 0.55115347 -0.0010393354
11.783333 52.649397 44.995307 0.1342887 0.55154654 -0.0010404239
11.822222 52.815739 45.124062 0.13432924 0.55174725 -0.0010411863
11.861111 52.980546 45.25284 0.13437014 0.55176432 -0.0010416338
11.9 53.143801 45.381601 0.1344114 0.55160552 -0.0010417768
11.938889 53.305485 45.510303 0.13445299 0.5512778 -0.0010416245
11.977778 53.465583 45.638909 0.13449492 0.55078739 -0.0010411852
12.016667 53.624078 45.767381 0.13453716 0.55013992 -0.0010404666
12.055556 53.780954 45.895683 0.13457971 0.54934048 -0.0010394757
12.094444 53.936194 46.023781 0.13462254 0.54839369 -0.0010382189
12.133333 54.089781 46.15164 0.13466566 0.54730379 -0.0010367023
12.172222 54.241702 46.279228 0.13470904 0.54607464 -0.0010349313
12.211111 54.391938 46.406513 0.13475267 0.54470981 -0.0010329112
12.25 54.540476 46.533463 0.13479654 0.54321261 -0.0010306466
12.288889 54.687299 46.660048 0.13484063 0.5415861 -0.0010281421
12.327778 54.832392 46.786239 0.13488494 0.53983312 -0.0010254019
12.366667 54.975741 46.912005 0.13492946 0.53795636 -0.00102243
12.405556 55.11733 47.037319 0.13497415 0.53595832 -0.0010192303
12.444444 55.257145 47.162152 0.13501903 0.53384138 -0.0010158063
12.483333 55.395171 47.286477 0.13506406 0.53160777 -0.0010121615
12.522222 55.531394 47.410268 0.13510924 0.52925963 -0.0010082992
12.561111 55.665799 47.533496 0.13515456 0.52679899 -0.0010042226
12.6 55.798374 47.656138 0.1352 0.52422778 -0.00099993471
12.638889 55.929104 47.778166 0.13524555 0.52154788 -0.00099543858
12.677778 56.057975 47.899557 0.1352912 0.51876107 -0.00099073705
12.716667 56.184974 48.020284 0.13533692 0.51586909 -0.00098583293
12.755556 56.310089 48.140325 0.13538272 0.51287362 -0.00098072895
12.794444 56.433306 48.259654 0.13542857 0.50977627 -0.00097542778
12.833333 56.554612 48.378248 0.13547446 0.50657864 -0.00096993205
12.872222 56.673995 48.496085 0.13552038 0.50328227 -0.00096424431
12.911111 56.791442 48.61314 0.13556631 0.49988866 -0.00095836712
12.95 56.906941 48.729393 0.13561225 0.49639929 -0.00095230295
12.988889 57.020481 48.84482 0.13565817 0.49281561 -0.00094605427
13.027778 57.132049 48.959399 0.13570406 0.48913905 -0.00093962352
13.066667 57.241634 49.07311 0.13574992 0.485371 -0.0009330131
13.105556 57.349224 49.185931 0.13579572 0.48151285 -0.00092622542
13.144444 57.454809 49.297841 0.13584146 0.47756596 -0.00091926285
13.183333 57.558377 49.40882 0.13588712 0.47353168 -0.00091212775
13.222222 57.659918 49.518847 0.13593268 0.46941134 -0.00090482246
