S nodes capex p0p5 a0p5 t0p5 p1 a1 t1 p3 a3 t3 p10 a10 t10 p30 a30 t30
83.403361 1.6600264 8150.2981 0.00088002362 0.68967112 39.044947 0.0031020911 0.65652193 38.09504 0.023481862 0.53956976 34.535649 0.22186277 0.23805319 22.939335 1 0 0
84.957983 1.5998296 7854.7472 0.00084811169 0.7163477 39.792915 0.0029896013 0.68255566 38.843008 0.022630349 0.56319469 35.283616 0.21381746 0.25383037 23.687302 1 0 0
86.512605 1.5428487 7574.9858 0.00081790461 0.74353046 40.540883 0.0028831211 0.70909558 39.590976 0.021824327 0.5873258 36.031584 0.20620195 0.27011373 24.43527 1 0 0
88.067227 1.4888586 7309.9088 0.00078928308 0.7712194 41.28885 0.0027822299 0.73614168 40.338944 0.021060613 0.6119631 36.779552 0.19898617 0.28690327 25.183238 1 0 0
89.621849 1.4376538 7058.5063 0.00076213804 0.79941453 42.036818 0.0026865434 0.76369396 41.086911 0.020336296 0.63710658 37.52752 0.19214264 0.304199 25.931206 1 0 0
91.176471 1.3890458 6819.8535 0.00073636965 0.82811584 42.784786 0.0025957096 0.79175243 41.834879 0.019648712 0.66275624 38.275488 0.18564617 0.32200092 26.679174 1 0 0
92.731092 1.3428619 6593.1028 0.00071188638 0.85732334 43.532754 0.0025094059 0.82031708 42.582847 0.01899542 0.68891209 39.023455 0.17947369 0.34030902 27.427141 1 0 0
94.285714 1.2989437 6377.4757 0.00068860416 0.88703701 44.280722 0.0024273358 0.84938791 43.330815 0.018374175 0.71557412 39.771423 0.17360401 0.3591233 28.175109 1 0 0
95.840336 1.2571452 6172.2562 0.00066644571 0.91725688 45.028689 0.0023492271 0.87896493 44.078783 0.017782917 0.74274234 40.519391 0.16801764 0.37844376 28.923077 1 0 0
97.394958 1.2173323 5976.7853 0.00064533985 0.94798292 45.776657 0.0022748288 0.90904813 44.82675 0.017219744 0.77041674 41.267359 0.16269664 0.39827041 29.671045 1 0 0
98.94958 1.1793812 5790.455 0.00062522096 0.97921515 46.524625 0.0022039095 0.93963752 45.574718 0.016682907 0.79859732 42.015326 0.15762447 0.41860324 30.419012 1 0 0
100.5042 1.1431775 5612.7043 0.00060602843 1.0109536 47.272593 0.0021362556 0.97073308 46.322686 0.016170789 0.82728409 42.763294 0.15278584 0.43944226 31.16698 1 7.061974e-07 0.039509986
102.05882 1.1086156 5443.0144 0.00058770627 1.0431982 48.02056 0.0020716698 1.0023348 47.070654 0.015681895 0.85647704 43.511262 0.14816664 0.46078746 31.914948 1 0.00028053624 0.78747777
103.61345 1.0755977 5280.9052 0.00057020262 1.0759489 48.768528 0.0020099693 1.0344428 47.818622 0.015214841 0.88617617 44.25923 0.14375379 0.48263884 32.662916 1 0.00106655 1.5354456
105.16807 1.0440332 5125.9317 0.00055346945 1.1092059 49.516496 0.0019509848 1.0670569 48.566589 0.014768346 0.91638149 45.007198 0.13953519 0.50499641 33.410884 1 0.0023587474 2.2834133
106.72269 1.0138381 4977.6813 0.00053746219 1.1429691 50.264464 0.001894559 1.1001772 49.314557 0.014341221 0.94709299 45.755165 0.1354996 0.52786016 34.158851 1 0.0041571285 3.0313811
108.27731 0.98493413 4835.7705 0.00052213946 1.1772384 51.012432 0.0018405463 1.1338037 50.062525 0.013932361 0.97831068 46.503133 0.13163659 0.55123009 34.906819 1 0.0064616933 3.7793489
109.83193 0.95724886 4699.843 0.00050746277 1.2120139 51.760399 0.0017888108 1.1679364 50.810493 0.01354074 1.0100345 47.251101 0.12793645 0.57510621 35.654787 1 0.0092724418 4.5273167
111.38655 0.93071469 4569.5671 0.00049339631 1.2472956 52.508367 0.0017392264 1.2025752 51.55846 0.013165401 1.0422646 47.999069 0.12439015 0.59948851 36.402755 0.98288708 0.012589374 5.2752845
112.94118 0.90526868 4444.6338 0.00047990671 1.2830835 53.256335 0.0016916754 1.2377202 52.306428 0.012805456 1.0750008 48.747037 0.12098929 0.624377 37.150723 0.95601466 0.01641249 6.0232523
114.4958 0.88085213 4324.7549 0.00046696286 1.3193776 54.004303 0.0016460483 1.2733715 53.054396 0.012460072 1.1082433 49.495004 0.11772602 0.64977167 37.89869 0.93022941 0.020741789 6.7712201
116.05042 0.85741026 4209.6614 0.0004545357 1.3561778 54.752271 0.0016022424 1.3095289 53.802364 0.012128475 1.1419919 50.242972 0.11459301 0.67567252 38.646658 0.90547347 0.025577273 7.5191878
117.60504 0.83489186 4099.1019 0.00044259811 1.3934842 55.500238 0.0015601623 1.3461925 54.550332 0.011809942 1.1762466 50.99094 0.11158342 0.70207956 39.394626 0.88169278 0.03091894 8.2671556
