beta_neg beta_pos gamma_neg gamma_pos
0.29561446 9.3970781 0.00068308395 0.01715395
0.2957757 9.3987052 0.00068384422 0.017156616
0.2962387 9.4090963 0.00068393257 0.017265179
0.29680443 9.4123549 0.00068403659 0.017330933
0.29754124 9.4668374 0.00068448988 0.017331038
0.29809996 9.4765507 0.00068484315 0.017342255
0.29879026 9.5036651 0.00068531992 0.017368984
0.29898229 9.566386 0.00068546481 0.017381396
0.29910684 9.5836402 0.0006867759 0.017387398
0.29910727 9.6025629 0.00068693054 0.017422894
0.29918705 9.6042799 0.00068712915 0.017426875
0.29972561 9.6120082 0.00068757617 0.017467433
0.29973211 9.6152985 0.000687921 0.017486863
0.29976468 9.6161114 0.00068882092 0.017488584
0.30028302 9.6162653 0.00068935749 0.017512679
0.30094401 9.6479903 0.00068947636 0.017513795
0.30117635 9.6592318 0.00068952711 0.017522679
0.30131553 9.6677581 0.00069034019 0.017527213
0.30140395 9.6751144 0.00069068933 0.017538506
0.30200173 9.6938576 0.00069227714 0.017541123
0.30202404 9.6978258 0.000693349 0.017551584
0.30238482 9.7421348 0.00069417756 0.017556422
0.30248991 9.7931822 0.00069443325 0.017609254
0.30252403 9.7966007 0.0006952083 0.01762334
0.30255024 9.801347 0.00069579149 0.017638167
0.30260225 9.8270409 0.00069580165 0.017649977
0.30273265 9.8618958 0.00069591737 0.017742946
0.3028641 9.8991062 0.00069758025 0.017767571
0.30303925 9.9286088 0.00069763952 0.017805499
0.30319402 9.9308271 0.00069764567 0.017810382
0.30325331 9.9309704 0.00069765037 0.017828412
0.30330417 9.93704 0.00069864503 0.017868346
0.30344015 9.9381519 0.0006991622 0.017891499
0.3037327 9.9450044 0.00070011104 0.017896126
0.30384512 9.9511426 0.00070055984 0.017896595
0.30401714 9.9957914 0.0007006456 0.017910416
0.30451045 10.006568 0.00070159816 0.017916056
0.30478718 10.010028 0.00070161616 0.017936739
0.30502636 10.021317 0.00070184048 0.01794447
0.3053818 10.024686 0.00070194692 0.017962368
0.30567449 10.029591 0.00070242751 0.017970729
0.30574571 10.037318 0.0007024354 0.018038385
0.30591499 10.038 0.00070286287 0.018063866
0.30608058 10.045463 0.00070333141 0.018116257
0.30627437 10.04652 0.00070349156 0.018145049
0.30630016 10.047568 0.00070412365 0.018197201
0.30640224 10.065413 0.00070429908 0.018234218
0.30642018 10.072219 0.00070475788 0.018292054
0.30650629 10.081082 0.00070622662 0.018326533
0.30653446 10.088696 0.00070634163 0.018371682
0.30689418 10.088941 0.00070651801 0.018379684
0.30818959 10.117838 0.00070659525 0.018401406
0.30842672 10.169264 0.00070669287 0.018424101
0.30853754 10.171928 0.00070712659 0.018428454
0.30884327 10.183907 0.00070733187 0.018462829
0.30888178 10.211613 0.00070761039 0.018472175
0.30892355 10.229669 0.00070787269 0.0184737
0.30929542 10.232688 0.00070798055 0.018544315
0.30936007 10.23636 0.0007082145 0.018563745
0.30951158 10.23923 0.00070949527 0.018567831
0.3095929 10.24641 0.00071030669 0.018568323
0.30980994 10.249303 0.00071030707 0.018584676
0.30984411 10.250424 0.00071114975 0.018590516
0.31055275 10.257288 0.00071127015 0.018592894
0.31103061 10.262707 0.00071217915 0.018615093
0.31119578 10.263795 0.00071334949 0.018651751
0.31154174 10.320111 0.00071381936 0.018662519
0.31161041 10.320949 0.0007142782 0.018668182
0.3119165 10.323731 0.00071429021 0.018672955
0.31200563 10.333181 0.00071462698 0.018688158
0.31212224 10.341315 0.00071547635 0.018726131
0.31212444 10.347843 0.00071552587 0.01877498
0.31228232 10.357604 0.00071597281 0.018777325
0.31250772 10.357637 0.00071621088 0.018778985
0.312541 10.376445 0.00071708427 0.018780517
0.31312261 10.382394 0.00071820849 0.018846621
0.31316918 10.386469 0.00072015671 0.018877172
0.31347998 10.393443 0.00072019665 0.018878438
0.31348741 10.399589 0.00072053925 0.018883971
0.3134994 10.414565 0.00072157523 0.018889047
0.31409427 10.416121 0.00072181027 0.018904233
0.31463994 10.421874 0.00072181513 0.018975813
0.31510617 10.429371 0.00072229488 0.019059697
0.31527053 10.430809 0.00072254971 0.019072085
0.31538771 10.447721 0.00072284097 0.019123826
0.31592525 10.456969 0.00072394919 0.019156345
0.31608708 10.486686 0.00072407972 0.019156385
0.31612212 10.498454 0.00072427122 0.019163364
0.31671097 10.500587 0.00072496003 0.019187064
0.31699706 10.508499 0.00072512313 0.019209176
0.31798428 10.538298 0.0007252968 0.019227525
0.31817666 10.541125 0.00072652908 0.019323056
0.31821129 10.559846 0.00072842952 0.019348263
0.31831749 10.564521 0.00072856993 0.019385321
0.31833868 10.58564 0.00072947146 0.019423122
0.31855814 10.602613 0.00072950803 0.019454738
0.31877533 10.60319 0.00072990562 0.019457988
0.31914045 10.607048 0.00073050282 0.019472342
0.31937166 10.616464 0.00073050961 0.019490749
0.31941422 10.616555 0.00073093153 0.019502397
0.31942003 10.617776 0.00073116707 0.019518914
0.31945029 10.669737 0.00073239516 0.019522359
0.31959303 10.67932 0.00073270409 0.019525449
0.31999838 10.699361 0.0007330499 0.019542206
0.32003331 10.702087 0.00073401016 0.019604028
0.32049871 10.712678 0.00073464984 0.019609759
0.32050704 10.712792 0.0007351973 0.019627651
0.32057686 10.717847 0.00073551631 0.01964926
0.32073817 10.749252 0.00073674173 0.01975241
0.3207612 10.791425 0.00073717243 0.019822113
0.32134434 10.812639 0.00073735814 0.019858258
0.32191494 10.855184 0.00073751876 0.019883279
0.32197198 10.87751 0.00073754233 0.019941637
0.32202998 10.902918 0.00073870985 0.01998784
0.32207245 10.916955 0.00073880085 0.020005868
0.32224751 10.954982 0.0007391098 0.020030632
0.32268549 10.980597 0.00073933131 0.020069634
0.32299955 10.980828 0.00073959873 0.020086672
0.32316963 10.982868 0.00073997536 0.020094492
0.32395348 10.996532 0.00074005742 0.020099018
