r V0p5 V1 V3 V10 V30
5.7743922 3.166138e-05 0.01182492 0.73119005 3.8275598 7.2257107
6.0012632 1.9736414e-05 0.0092514158 0.66613868 3.6838406 7.0768611
6.2370479 1.2085333e-05 0.0071735958 0.60504522 3.5420918 6.9284323
6.4820963 7.2643544e-06 0.0055110267 0.54783471 3.4023895 6.7804483
6.7367725 4.2831911e-06 0.0041931198 0.49442168 3.2648102 6.6329344
7.0014547 2.4753781e-06 0.0031585457 0.4447105 3.1294315 6.4859175
7.2765361 1.4011286e-06 0.0023545707 0.39859577 2.996331 6.3394253
7.5624251 7.761079e-07 0.0017363363 0.35596285 2.8655866 6.193487
7.8595465 4.2034434e-07 0.0012661037 0.31668851 2.737276 6.0481334
8.1683416 2.2240479e-07 0.00091248706 0.28064163 2.6114765 5.9033964
8.489269 1.1485256e-07 0.00064969148 0.24768406 2.4882645 5.7593094
8.8228053 5.7833697e-08 0.00045677665 0.21767151 2.3677156 5.6159075
9.169446 2.8368398e-08 0.00031695819 0.19045456 2.2499036 5.4732271
9.5297059 1.3541139e-08 0.00021695919 0.16587971 2.1349008 5.3313061
9.9041201 6.2831504e-09 0.00014641985 0.14379051 2.0227772 5.1901842
10.293245 2.8308621e-09 9.7370274e-05 0.12402868 1.9136 5.0499026
10.697658 1.237021e-09 6.3768557e-05 0.10643529 1.8074335 4.9105039
11.11796 5.236377e-10 4.1103602e-05 0.090851945 1.7043385 4.7720327
11.554775 2.1445597e-10 2.6060057e-05 0.077121932 1.6043718 4.6345349
12.008753 8.4866312e-11 1.6240952e-05 0.065091321 1.5075858 4.4980584
12.480567 3.2406857e-11 9.9424988e-06 0.054610046 1.4140281 4.3626523
12.970918 1.1924339e-11 5.974801e-06 0.045532886 1.323741 4.2283677
13.480535 4.2217747e-12 3.5219164e-06 0.037720367 1.2367609 4.0952571
14.010174 1.4360242e-12 2.0348566e-06 0.031039557 1.1531179 3.9633747
14.560622 4.685449e-13 1.1514531e-06 0.025364742 1.0728358 3.8327761
15.132696 1.4640416e-13 6.3761932e-07 0.020577977 0.99593089 3.7035185
15.727247 4.3735132e-14 3.4523167e-07 0.016569506 0.92241239 3.5756604
16.345158 1.2468531e-14 1.8260403e-07 0.013238036 0.85228155 3.4492619
16.987346 3.386187e-15 9.4267555e-08 0.010490885 0.78553158 3.3243841
17.654764 8.7435732e-16 4.7451744e-08 0.0082439908 0.72214733 3.2010893
18.348405 2.1423399e-16 2.3267504e-08 0.0064217956 0.66210511 3.079441
19.069299 4.9706642e-17 1.1102168e-08 0.0049570148 0.60537255 2.9595035
19.818516 1.0897758e-17 5.1494554e-09 0.0037903037 0.55190851 2.8413419
20.597169 2.252631e-18 2.3191411e-09 0.0028698357 0.50166306 2.7250219
21.406415 4.3799451e-19 1.0129855e-09 0.0021508106 0.4545776 2.6106095
22.247455 7.9915137e-20 4.286153e-10 0.0015949081 0.41058495 2.4981711
23.121539 1.3648541e-20 1.7545996e-10 0.0011697067 0.36960964 2.387773
24.029965 2.1762694e-21 6.9401782e-11 0.00084808305 0.33156818 2.2794812
24.974082 3.2309956e-22 2.6488635e-11 0.00060760992 0.29636951 2.1733614
25.955293 4.4538897e-23 9.741728e-12 0.00042996552 0.26391546 2.0694782
26.975055 5.6840267e-24 3.4472046e-12 0.00030036821 0.23410133 1.9678955
28.034883 6.6953114e-25 1.1719122e-12 0.00020704599 0.20681656 1.8686755
29.13635 7.2563168e-26 3.8215231e-13 0.00014074877 0.18194543 1.7718788
30.281093 7.2122626e-27 1.1933859e-13 9.4308456e-05 0.15936787 1.677564
31.470812 6.5517887e-28 3.5627879e-14 6.2249955e-05 0.13896028 1.5857872
32.707274 5.4205889e-29 1.0150709e-14 4.0453323e-05 0.12059647 1.4966018
33.992316 4.0694544e-30 2.7548796e-15 2.5866072e-05 0.10414852 1.4100579
35.327846 2.7616665e-31 7.1085313e-16 1.6262668e-05 0.089487779 1.3262023
36.715847 1.6874414e-32 1.7404708e-16 1.0047341e-05 0.076485775 1.2450775
38.158383 9.245235e-34 4.0352266e-17 6.0955131e-06 0.065015183 1.1667219
39.657594 4.5224942e-35 8.8400157e-18 3.6287681e-06 0.054950722 1.0911691
41.215708 1.9664133e-36 1.8258078e-18 2.1182431e-06 0.04617003 1.0184476
42.835039 7.5648135e-38 3.547064e-19 1.211505e-06 0.038554486 0.94858043
44.517992 2.5624725e-39 6.4662192e-20 6.7835865e-07 0.031989952 0.88158477
46.267067 7.6047794e-41 1.1033511e-20 3.7154945e-07 0.026367439 0.81747159
