lead cdf
68.532968 0.43066406
68.622789 0.43261719
68.692771 0.43457031
68.950442 0.43652344
69.243982 0.43847656
69.585925 0.44042969
69.765705 0.44238281
70.266009 0.44433594
70.318492 0.44628906
70.587331 0.44824219
70.782515 0.45019531
70.985103 0.45214844
71.146399 0.45410156
71.52902 0.45605469
71.90515 0.45800781
71.973515 0.45996094
72.349588 0.46191406
72.621653 0.46386719
72.780507 0.46582031
72.842911 0.46777344
73.115407 0.46972656
73.430851 0.47167969
73.683347 0.47363281
73.841693 0.47558594
74.012463 0.47753906
74.37177 0.47949219
74.682812 0.48144531
74.755859 0.48339844
75.205614 0.48535156
75.339774 0.48730469
75.560238 0.48925781
75.61447 0.49121094
75.780341 0.49316406
75.934198 0.49511719
76.349804 0.49707031
76.467323 0.49902344
76.65853 0.50097656
76.755669 0.50292969
76.93865 0.50488281
77.290381 0.50683594
77.703042 0.50878906
78.174999 0.51074219
78.375149 0.51269531
78.512663 0.51464844
78.553447 0.51660156
78.883517 0.51855469
79.12579 0.52050781
79.163886 0.52246094
79.354371 0.52441406
79.362608 0.52636719
79.766265 0.52832031
79.865721 0.53027344
79.928216 0.53222656
80.083438 0.53417969
80.191074 0.53613281
80.2219 0.53808594
80.26593 0.54003906
80.566635 0.54199219
80.615729 0.54394531
80.796564 0.54589844
80.867607 0.54785156
81.545964 0.54980469
81.707896 0.55175781
81.85097 0.55371094
82.270232 0.55566406
82.589592 0.55761719
82.733147 0.55957031
82.902967 0.56152344
83.115571 0.56347656
83.197029 0.56542969
83.513093 0.56738281
83.786585 0.56933594
84.07145 0.57128906
84.299175 0.57324219
85.034681 0.57519531
85.139408 0.57714844
85.577415 0.57910156
85.691064 0.58105469
85.858778 0.58300781
85.932938 0.58496094
86.195769 0.58691406
86.29966 0.58886719
87.056737 0.59082031
87.517508 0.59277344
87.565792 0.59472656
87.63847 0.59667969
87.963082 0.59863281
88.031338 0.60058594
88.368693 0.60253906
88.519503 0.60449219
88.725147 0.60644531
88.810127 0.60839844
88.998022 0.61035156
89.052399 0.61230469
89.106783 0.61425781
89.294274 0.61621094
89.370807 0.61816406
89.549619 0.62011719
89.861923 0.62207031
90.184763 0.62402344
90.435147 0.62597656
90.997648 0.62792969
91.347628 0.62988281
91.542529 0.63183594
91.580601 0.63378906
91.710157 0.63574219
91.949821 0.63769531
92.049268 0.63964844
92.324275 0.64160156
92.459539 0.64355469
92.555043 0.64550781
93.025435 0.64746094
93.076597 0.64941406
93.18715 0.65136719
93.822292 0.65332031
93.982752 0.65527344
94.104223 0.65722656
94.242822 0.65917969
94.308354 0.66113281
94.418312 0.66308594
94.673557 0.66503906
95.04434 0.66699219
95.337214 0.66894531
95.341455 0.67089844
95.471453 0.67285156
95.723547 0.67480469
95.848168 0.67675781
95.941995 0.67871094
96.304112 0.68066406
96.569851 0.68261719
96.62235 0.68457031
97.354156 0.68652344
97.562697 0.68847656
98.215199 0.69042969
98.445795 0.69238281
99.057188 0.69433594
99.130324 0.69628906
99.517178 0.69824219
99.693535 0.70019531
99.899061 0.70214844
100.25933 0.70410156
100.28412 0.70605469
100.44326 0.70800781
100.7944 0.70996094
101.27096 0.71191406
101.27871 0.71386719
101.69357 0.71582031
101.7816 0.71777344
101.93292 0.71972656
102.42049 0.72167969
102.80527 0.72363281
103.40771 0.72558594
103.67707 0.72753906
103.80704 0.72949219
104.07732 0.73144531
104.49538 0.73339844
104.89057 0.73535156
105.12689 0.73730469
105.62152 0.73925781
105.72213 0.74121094
106.0837 0.74316406
106.33465 0.74511719
106.54716 0.74707031
106.76057 0.74902344
106.90097 0.75097656
107.09258 0.75292969
107.10476 0.75488281
107.21633 0.75683594
107.36359 0.75878906
108.04983 0.76074219
