x y
512.48404 4256.13639
513.10085 4256.72433
513.47703 4256.80170
514.33024 4256.13947
514.33159 4255.38095
511.81980 4253.94110
509.76266 4251.75760
507.73910 4250.45057
505.34370 4251.58640
504.87506 4251.14363
504.74690 4251.58602
503.70986 4251.04368
502.87849 4251.19685
502.06132 4251.53974
501.16611 4251.58471
500.65459 4251.27763
499.51773 4250.28433
499.10556 4250.07216
497.71268 4249.77445
493.41166 4247.72251
486.50137 4247.04937
484.94367 4246.57805
483.38511 4245.78197
482.09786 4245.62670
481.42571 4247.05946
481.04127 4246.82106
480.03801 4246.46229
479.63221 4246.23755
478.01642 4250.74776
477.01321 4252.77329
476.02910 4253.88685
475.48219 4253.88850
475.47988 4253.12998
474.02513 4253.58605
472.70004 4252.43459
471.70578 4250.50558
471.23710 4248.60190
471.81801 4243.98551
473.22271 4242.96035
473.77437 4242.00136
473.30028 4240.60779
471.41971 4239.95053
470.02693 4242.35303
468.52458 4247.43813
467.53632 4249.16228
467.00312 4250.85759
466.11292 4252.07133
464.04674 4252.35120
464.77131 4253.95537
465.52971 4255.23888
465.55531 4256.24113
464.06767 4257.03327
465.04303 4257.63851
466.05211 4257.85994
466.96711 4257.65746
467.64610 4257.01807
467.99445 4257.12955
468.30752 4257.29988
468.88444 4257.77172
468.42735 4258.88421
468.38180 4259.93642
468.42867 4261.02438
468.25609 4262.24866
467.77859 4263.49222
467.29153 4264.09471
466.70459 4264.53961
465.94166 4265.28782
463.75576 4268.13746
461.75047 4271.37518
461.32640 4273.08398
459.91939 4275.11827
456.98264 4278.34844
456.07500 4279.10587

456.07500 4254.89197
456.26607 4254.71502
457.49791 4253.96342
456.16130 4251.12604
456.07500 4251.11282

456.07500 4225.39638
457.89869 4225.85965
457.55560 4224.31281
457.71376 4223.19680
458.27231 4222.27738
459.97446 4220.39513
461.16120 4219.47737
462.06084 4219.65824
462.11449 4221.98767
462.91409 4220.62500
463.93620 4217.90246
464.49062 4217.42596
465.55577 4217.90447
466.00254 4218.96358
466.00852 4220.39476
465.75839 4221.97150
466.30748 4221.96921
466.49880 4221.67495
466.54122 4221.58448
466.95358 4221.27578
468.12289 4228.46782
468.98636 4228.81212
474.45838 4228.82465
476.12666 4229.18075
477.64583 4229.77238
479.01395 4229.89063
480.18676 4228.80863
479.98630 4225.53135
480.38217 4224.17142
481.92376 4224.94891
482.74118 4223.85455
484.66954 4221.91383
485.55820 4220.39524
486.11204 4218.94504
486.53733 4217.30095
486.62028 4215.67551
486.14689 4214.26770
488.14679 4210.30063
488.86010 4209.71723
489.60329 4210.08194
489.96133 4210.88060
490.21936 4211.68841
490.64818 4212.05812
491.23368 4212.12067
492.78350 4212.74218
495.54655 4213.29100
497.84506 4213.05530
502.37147 4211.29463
504.90647 4210.88944
505.67805 4210.32109
505.95780 4208.60571
506.15822 4208.03701
506.66564 4207.70784
507.35155 4207.54590
508.05878 4207.51496
508.94489 4207.22695
509.44571 4206.56837
509.70555 4205.92500

