z T3p0 th3p0 T3p5 th3p5 T4p0 th4p0 T4p5 th4p5 T5p0 th5p0 T6p0 th6p0
14.125 19.773827 0.17125491 19.560079 0.17105549 24.333109 0.17128653 43.093965 0.17572116 56.243531 0.18324679 69.262195 0.19467928
14.375 19.86093 0.1717435 19.626246 0.17154212 23.891788 0.17171866 41.796715 0.17567455 55.040719 0.18285633 68.318089 0.19421722
14.625 19.946354 0.17222499 19.693667 0.17202184 23.498465 0.17215114 40.545905 0.17567217 53.847965 0.18249877 67.372306 0.1937575
14.875 20.030112 0.17269959 19.76202 0.17249485 23.149162 0.17258308 39.343096 0.17571072 52.666857 0.18217493 66.425361 0.19330226
15.125 20.112215 0.17316749 19.83102 0.17296133 22.840116 0.17301378 38.189467 0.1757868 51.498982 0.18188531 65.477782 0.19285352
15.375 20.192674 0.17362889 19.900414 0.17342144 22.567786 0.17344264 37.085823 0.17589702 50.345913 0.18163016 64.530115 0.19241317
15.625 20.271501 0.17408397 19.969979 0.17387535 22.328857 0.1738692 36.032617 0.17603801 49.209196 0.18140943 63.582925 0.19198296
15.875 20.34871 0.1745329 20.039518 0.17432323 22.120242 0.17429309 35.029968 0.17620654 48.090339 0.18122281 62.636792 0.1915645
16.125 20.424313 0.17497584 20.108858 0.17476523 21.939074 0.17471399 34.077685 0.17639953 46.990798 0.18106976 61.692313 0.19115929
16.375 20.498324 0.17541296 20.177847 0.17520149 21.782703 0.17513168 33.175298 0.17661408 45.911961 0.1809495 60.750101 0.19076866
16.625 20.570756 0.1758444 20.246353 0.17563216 21.648688 0.17554597 32.322087 0.17684751 44.855142 0.18086107 59.810782 0.19039383
16.875 20.641623 0.17627031 20.314261 0.17605737 21.534785 0.17595671 31.517113 0.17709734 43.821567 0.18080331 58.874996 0.19003587
17.125 20.71094 0.17669083 20.38147 0.17647726 21.438938 0.17636378 30.759247 0.17736133 42.812366 0.18077495 57.943393 0.18969572
17.375 20.778721 0.17710608 20.447893 0.17689194 21.359267 0.17676712 30.047196 0.17763745 41.828563 0.18077457 57.016631 0.18937419
17.625 20.844982 0.1775162 20.513456 0.17730155 21.294059 0.17716666 29.379539 0.17792386 40.871075 0.18080067 56.095378 0.18907196
17.875 20.909736 0.17792131 20.578095 0.17770619 21.241756 0.17756236 28.754743 0.17821893 39.940701 0.18085168 55.180302 0.18878958
18.125 20.973001 0.17832153 20.641755 0.17810599 21.200941 0.17795421 28.171195 0.17852123 39.038122 0.18092601 54.272077 0.18852748
18.375 21.034791 0.17871696 20.704391 0.17850104 21.170331 0.1783422 27.627219 0.17882946 38.163899 0.18102203 53.371372 0.18828598
18.625 21.095122 0.17910772 20.765965 0.17889146 21.148764 0.17872632 27.121097 0.17914251 37.318477 0.18113814 52.478854 0.18806527
18.875 21.154011 0.1794939 20.826445 0.17927734 21.135191 0.1791066 26.651088 0.17945938 36.502179 0.18127274 51.595183 0.18786544
19.125 21.211474 0.17987562 20.885805 0.17965878 21.128666 0.17948305 26.215441 0.17977922 35.715214 0.18142428 50.721008 0.18768648
19.375 21.267526 0.18025296 20.944024 0.18003588 21.128336 0.1798557 25.812409 0.18010126 34.957682 0.18159127 49.856964 0.18752828
19.625 21.322185 0.18062602 21.001088 0.18040873 21.133433 0.18022458 25.440265 0.18042485 34.229573 0.18177227 49.00367 0.18739062
19.875 21.375468 0.18099489 21.056983 0.18077741 21.143268 0.18058972 25.097305 0.18074942 33.530778 0.18196593 48.161727 0.18727324
20.125 21.427391 0.18135965 21.111702 0.181142 21.157222 0.18095116 24.781862 0.18107448 32.861095 0.18217095 47.331712 0.18717575
20.375 21.477971 0.18172039 21.165239 0.1815026 21.174741 0.18130894 24.492311 0.1813996 32.220231 0.18238613 46.514179 0.18709772
20.625 21.527226 0.18207718 21.217592 0.18185928 21.195326 0.18166311 24.227074 0.18172441 31.607813 0.18261035 45.709653 0.18703865
