t Tsurf Tprobe theta dTdt dlnR
7.6611111 17.879362 16.642947 0.14870167 0.24600324 -0.00053512164
7.7 17.994318 16.700637 0.14869426 0.24853517 -0.00054114006
7.7388889 18.109689 16.758927 0.14868694 0.25109182 -0.00054703384
7.7777778 18.225463 16.817816 0.14867971 0.25364335 -0.00055280123
7.8166667 18.341628 16.8773 0.14867257 0.2561743 -0.00055844332
7.8555556 18.458173 16.937373 0.14866552 0.25867694 -0.00056396256
7.8944444 18.575085 16.998026 0.14865856 0.26114769 -0.00056936194
7.9333333 18.692352 17.059251 0.14865169 0.26358506 -0.00057464465
7.9722222 18.809961 17.121041 0.14864491 0.26598869 -0.00057981381
8.0111111 18.927902 17.183389 0.14863822 0.26835875 -0.00058487246
8.05 19.04616 17.246285 0.14863162 0.27069565 -0.00058982346
8.0888889 19.164725 17.309722 0.14862512 0.2729999 -0.0005946695
8.1277778 19.283584 17.373694 0.1486187 0.27527199 -0.00059941314
8.1666667 19.402725 17.438191 0.14861238 0.27751239 -0.00060405674
8.2055556 19.522134 17.503208 0.14860615 0.2797215 -0.00060860255
8.2444444 19.641801 17.568737 0.14860001 0.28189966 -0.00061305263
8.2833333 19.761712 17.63477 0.14859397 0.28404714 -0.00061740891
8.3222222 19.881854 17.701301 0.14858802 0.28616415 -0.00062167314
8.3611111 20.002217 17.768322 0.14858216 0.28825083 -0.00062584693
8.4 20.122786 17.835826 0.14857639 0.29030727 -0.00062993173
8.4388889 20.243551 17.903807 0.14857072 0.29233351 -0.00063392883
8.4777778 20.364497 17.972257 0.14856515 0.29432954 -0.00063783935
8.5166667 20.485612 18.041169 0.14855967 0.29629531 -0.00064166427
8.5555556 20.606885 18.110536 0.14855428 0.29823076 -0.00064540443
8.5944444 20.728302 18.180352 0.14854898 0.30013575 -0.00064906049
8.6333333 20.849851 18.250608 0.14854379 0.30201016 -0.00065263304
8.6722222 20.971519 18.321299 0.14853868 0.30385382 -0.0006561225
8.7111111 21.093294 18.392415 0.14853367 0.30566655 -0.0006595292
8.75 21.215162 18.463952 0.14852876 0.30744816 -0.00066285338
8.7888889 21.337112 18.5359 0.14852394 0.30919843 -0.0006660952
8.8277778 21.459131 18.608253 0.14851922 0.31091715 -0.00066925473
8.8666667 21.581206 18.681003 0.14851459 0.31260409 -0.00067233199
8.9055556 21.703324 18.754144 0.14851006 0.31425902 -0.00067532695
8.9444444 21.825473 18.827667 0.14850562 0.31588171 -0.00067823954
8.9833333 21.94764 18.901564 0.14850128 0.31747192 -0.00068106966
9.0222222 22.069813 18.975829 0.14849703 0.31902942 -0.0006838172
9.0611111 22.191978 19.050454 0.14849288 0.32055397 -0.00068648201
9.1 22.314123 19.125431 0.14848882 0.32204534 -0.00068906395
9.1388889 22.436236 19.200751 0.14848486 0.3235033 -0.00069156287
9.1777778 22.558304 19.276408 0.148481 0.32492808 -0.00067002424
9.2166667 22.680313 19.352394 0.14847723 0.32644005 -0.00065367669
9.2555556 22.802253 19.4287 0.14847356 0.32854341 -0.00063960947
9.2944444 22.924109 19.505396 0.14846998 0.33121528 -0.00064126852
9.3333333 23.045869 19.582955 0.14846655 0.3336337 -0.00066064812
9.3722222 23.167521 19.661477 0.14846327 0.33529304 -0.00068082154
9.4111111 23.289052 19.740197 0.14846009 0.33591668 -0.00070045632
9.45 23.410449 19.818531 0.14845695 0.33551045 -0.00070394725
9.4888889 23.5317 19.896583 0.14845385 0.33489317 -0.00070541576
9.5277778 23.652792 19.974585 0.14845083 0.33482267 -0.00070709791
9.5666667 23.773713 20.052692 0.14844788 0.33529319 -0.00070883465
9.6055556 23.89445 20.130984 0.14844502 0.3360799 -0.00071054173
9.6444444 24.014991 20.209498 0.14844226 0.3370159 -0.00071217599
9.6833333 24.135323 20.288249 0.14843958 0.33800667 -0.00071371618
9.7222222 24.255433 20.367237 0.148437 0.33900246 -0.00071515281
9.7611111 24.37531 20.446457 0.14843452 0.33997786 -0.00071648259
9.8 24.49494 20.525903 0.14843213 0.3409201 -0.00071770553
9.8388889 24.614312 20.605565 0.14842983 0.34182306 -0.00071882325
9.8777778 24.733413 20.685432 0.14842763 0.34268402 -0.00071983811
9.9166667 24.852231 20.765496 0.14842552 0.34350201 -0.00072075276
9.9555556 24.970753 20.845745 0.14842351 0.34427694 -0.0007215698
9.9944444 25.088967 20.926171 0.14842159 0.34500912 -0.00072229168
10.033333 25.206861 21.006762 0.14841976 0.34569904 -0.00072292064
10.072222 25.324422 21.087508 0.14841803 0.34634722 -0.00072345869
10.111111 25.441639 21.168402 0.14841639 0.34695413 -0.00072390757
10.15 25.558499 21.249432 0.14841484 0.3475202 -0.00072426881
10.188889 25.67499 21.330589 0.14841338 0.34804582 -0.00072454372
10.227778 25.7911 21.411864 0.14841202 0.34853126 -0.00072473343
10.266667 25.906818 21.493248 0.14841074 0.34897678 -0.0007248389
10.305556 26.02213 21.574731 0.14840956 0.34938256 -0.00072486093
10.344444 26.137026 21.656304 0.14840847 0.34974873 -0.00072480022
10.383333 26.251492 21.737958 0.14840747 0.3500754 -0.00072465736
10.422222 26.365518 21.819684 0.14840655 0.35036265 -0.00072443285
10.461111 26.479092 21.901472 0.14840573 0.35061051 -0.00072412711
10.5 26.592201 21.983313 0.148405 0.350819 -0.00072374053
10.538889 26.704834 22.065199 0.14840435 0.35098815 -0.00072327344
10.577778 26.81698 22.147119 0.14840379 0.35111795 -0.00072272612
10.616667 26.928626 22.229065 0.14840332 0.35120838 -0.00072209885
10.655556 27.039762 22.311027 0.14840293 0.35125944 -0.00072139187
10.694444 27.150375 22.392997 0.14840264 0.35127111 -0.00072060541
10.733333 27.260454 22.474964 0.14840242 0.35124337 -0.0007197397
10.772222 27.369988 22.556921 0.14840229 0.35117621 -0.00071879496
10.811111 27.478965 22.638858 0.14840225 0.3510696 -0.00071777142
10.85 27.587374 22.720765 0.14840228 0.35092353 -0.00071666928
10.888889 27.695204 22.802633 0.1484024 0.35073799 -0.00071548877
10.927778 27.802444 22.884453 0.1484026 0.35051298 -0.00071423012
10.966667 27.909083 22.966217 0.14840288 0.35024849 -0.00071289357
11.005556 28.015109 23.047914 0.14840324 0.34994453 -0.00071147936
11.044444 28.120511 23.129535 0.14840368 0.3496011 -0.00070998773
11.083333 28.225279 23.211072 0.1484042 0.34921821 -0.00070841895
11.122222 28.329402 23.292515 0.14840479 0.34879588 -0.00070677327
11.161111 28.432869 23.373854 0.14840546 0.34833415 -0.00070505098
11.2 28.535668 23.455082 0.14840621 0.34783302 -0.00070325235
11.238889 28.637791 23.536187 0.14840702 0.34729254 -0.00070137767
11.277778 28.739225 23.617163 0.14840791 0.34671275 -0.00069942725
11.316667 28.839961 23.697998 0.14840887 0.3460937 -0.00069740139
11.355556 28.939988 23.778684 0.1484099 0.34543542 -0.0006953004
11.394444 29.039296 23.859212 0.148411 0.34473798 -0.00069312462
11.433333 29.137873 23.939573 0.14841216 0.34400144 -0.00069087437
11.472222 29.235711 24.019757 0.14841339 0.34322587 -0.00068854999
11.511111 29.332799 24.099756 0.14841469 0.34241134 -0.00068615182
11.55 29.429127 24.17956 0.14841605 0.34155792 -0.00068368022
11.588889 29.524685 24.25916 0.14841747 0.3406657 -0.00068113555
11.627778 29.619463 24.338548 0.14841895 0.33973477 -0.00067851817
11.666667 29.713451 24.417714 0.14842049 0.33876522 -0.00067582846
11.705556 29.80664 24.496649 0.14842209 0.33775715 -0.0006730668
11.744444 29.899019 24.575344 0.14842374 0.33671067 -0.00067023357
11.783333 29.99058 24.653791 0.14842545 0.33562588 -0.00066732917
11.822222 30.081312 24.731981 0.14842721 0.33450291 -0.00066435399
11.861111 30.171207 24.809903 0.14842902 0.33334188 -0.00066130843
11.9 30.260255 24.887551 0.14843088 0.3321429 -0.00065819292
11.938889 30.348446 24.964914 0.14843279 0.33090612 -0.00065500786
11.977778 30.435773 25.041984 0.14843474 0.32963167 -0.00065175368
12.016667 30.522225 25.118752 0.14843674 0.32831969 -0.0006484308
12.055556 30.607793 25.19521 0.14843878 0.32697034 -0.00064503965
12.094444 30.692469 25.271349 0.14844086 0.32558377 -0.00064158068
12.133333 30.776244 25.34716 0.14844298 0.32416013 -0.00063805433
12.172222 30.85911 25.422634 0.14844514 0.32269959 -0.00063446104
12.211111 30.941057 25.497763 0.14844733 0.32120233 -0.00063080128
12.25 31.022078 25.572539 0.14844955 0.31966852 -0.0006270755
12.288889 31.102163 25.646952 0.14845181 0.31809833 -0.00062328417
12.327778 31.181305 25.720995 0.14845409 0.31649197 -0.00061942776
12.366667 31.259495 25.794658 0.1484564 0.31484961 -0.00061550674
12.405556 31.336725 25.867935 0.14845873 0.31317146 -0.0006115216
12.444444 31.412988 25.940815 0.14846109 0.31145772 -0.00060747283
12.483333 31.488275 26.013291 0.14846347 0.3097086 -0.00060336091
12.522222 31.562578 26.085355 0.14846587 0.30792431 -0.00059918634
12.561111 31.635891 26.156999 0.14846828 0.30610507 -0.00059494964
12.6 31.708204 26.228214 0.14847071 0.30425111 -0.00059065129
12.638889 31.779511 26.298993 0.14847315 0.30236266 -0.00058629182
12.677778 31.849805 26.369326 0.1484756 0.30043995 -0.00058187175
12.716667 31.919077 26.439207 0.14847805 0.29848321 -0.0005773916
12.755556 31.987321 26.508628 0.14848052 0.29649271 -0.0005728519
12.794444 32.05453 26.57758 0.14848298 0.29446868 -0.00056825318
12.833333 32.120697 26.646056 0.14848545 0.29241138 -0.00056359597
12.872222 32.185815 26.714048 0.14848791 0.29032107 -0.00055888083
12.911111 32.249877 26.781548 0.14849037 0.28819802 -0.00055410831
12.95 32.312877 26.848549 0.14849282 0.2860425 -0.00054927894
12.988889 32.374808 26.915044 0.14849527 0.28385478 -0.00054439331
13.027778 32.435663 26.981024 0.1484977 0.28163514 -0.00053945196
13.066667 32.495436 27.046482 0.14850012 0.27938387 -0.00053445546
13.105556 32.554122 27.111412 0.14850253 0.27710125 -0.0005294044
13.144444 32.611714 27.175805 0.14850491 0.27478758 -0.00052429934
13.183333 32.668206 27.239655 0.14850728 0.27244315 -0.00051914086
13.222222 32.723592 27.302954 0.14850962 0.27006827 -0.00051392956
13.261111 32.777866 27.365695 0.14851194 0.26766325 -0.00050866603
13.3 32.831023 27.427871 0.14851423 0.26522838 -0.00050335086
13.338889 32.883058 27.489476 0.14851648 0.262764 -0.00049798465
13.377778 32.933965 27.550503 0.14851871 0.26027041 -0.000492568
