canopy duty lolp
0.0323077 0.853846 0.252055
0.0323077 0.878205 0.266667
0.0323077 0.902564 0.280365
0.0323077 0.926923 0.294977
0.0323077 0.951282 0.310502
0.0323077 0.975641 0.320548
0.0323077 1 0.32968

0.0397436 0.05 0
0.0397436 0.074359 0
0.0397436 0.0987179 0
0.0397436 0.123077 0
0.0397436 0.147436 0
0.0397436 0.171795 0
0.0397436 0.196154 0
0.0397436 0.220513 0
0.0397436 0.244872 0
0.0397436 0.269231 0
0.0397436 0.29359 0
0.0397436 0.317949 0
0.0397436 0.342308 0
0.0397436 0.366667 0
0.0397436 0.391026 0
0.0397436 0.415385 0
0.0397436 0.439744 0
0.0397436 0.464103 0
0.0397436 0.488462 0
0.0397436 0.512821 0
0.0397436 0.537179 0
0.0397436 0.561538 0
0.0397436 0.585897 0
0.0397436 0.610256 0
0.0397436 0.634615 0
0.0397436 0.658974 0.00730594
0.0397436 0.683333 0.0383562
0.0397436 0.707692 0.060274
0.0397436 0.732051 0.0767123
0.0397436 0.75641 0.0913242
0.0397436 0.780769 0.109589
0.0397436 0.805128 0.13242
0.0397436 0.829487 0.152511
0.0397436 0.853846 0.170776
0.0397436 0.878205 0.186301
0.0397436 0.902564 0.198174
0.0397436 0.926923 0.212785
0.0397436 0.951282 0.230137
0.0397436 0.975641 0.245662
0.0397436 1 0.261187

0.0471795 0.05 0
0.0471795 0.074359 0
0.0471795 0.0987179 0
0.0471795 0.123077 0
0.0471795 0.147436 0
0.0471795 0.171795 0
0.0471795 0.196154 0
0.0471795 0.220513 0
0.0471795 0.244872 0
0.0471795 0.269231 0
0.0471795 0.29359 0
0.0471795 0.317949 0
0.0471795 0.342308 0
0.0471795 0.366667 0
0.0471795 0.391026 0
0.0471795 0.415385 0
0.0471795 0.439744 0
0.0471795 0.464103 0
0.0471795 0.488462 0
0.0471795 0.512821 0
0.0471795 0.537179 0
0.0471795 0.561538 0
0.0471795 0.585897 0
0.0471795 0.610256 0
0.0471795 0.634615 0
0.0471795 0.658974 0
0.0471795 0.683333 0
0.0471795 0.707692 0
0.0471795 0.732051 0
0.0471795 0.75641 0.0191781
0.0471795 0.780769 0.0410959
0.0471795 0.805128 0.0584475
0.0471795 0.829487 0.0721461
0.0471795 0.853846 0.0858447
0.0471795 0.878205 0.106849
0.0471795 0.902564 0.122374
0.0471795 0.926923 0.138813
0.0471795 0.951282 0.151598
0.0471795 0.975641 0.16621
0.0471795 1 0.181735

0.0546154 0.05 0
0.0546154 0.074359 0
0.0546154 0.0987179 0
0.0546154 0.123077 0
0.0546154 0.147436 0
0.0546154 0.171795 0
0.0546154 0.196154 0
0.0546154 0.220513 0
0.0546154 0.244872 0
0.0546154 0.269231 0
0.0546154 0.29359 0
0.0546154 0.317949 0
0.0546154 0.342308 0
0.0546154 0.366667 0
0.0546154 0.391026 0
0.0546154 0.415385 0
0.0546154 0.439744 0
0.0546154 0.464103 0
0.0546154 0.488462 0
0.0546154 0.512821 0
0.0546154 0.537179 0
0.0546154 0.561538 0
0.0546154 0.585897 0
