x y lead slope theta0 tamb elev
537.615 4313.115 75.39837 9.342882 0.08 28.27163 657.2792
544.095 4313.115 74.80233 4.646984 0.08 29.64784 444.8958
550.035 4313.115 79.30136 0.9766676 0.2344854 31.2842 208.5844
556.515 4313.115 79.46054 1.314154 0.1967314 31.42216 188.9586
562.995 4313.115 79.50208 0.792731 0.195688 31.74813 137.3955
569.475 4313.115 79.31046 0.1864991 0.2735238 31.98056 100.1535
575.955 4313.115 79.57167 0.9045445 0.1863197 31.83938 123.819
582.435 4313.115 79.4373 13.8445 0.1392182 29.4499 493.327
588.915 4313.115 77.84185 4.120393 0.1118675 27.30399 808.5768
595.395 4313.115 74.52544 6.634759 0.08 27.27339 833.1851
601.875 4313.115 74.76195 10.35737 0.08 28.85156 587.5223
484.695 4312.575 79.61561 21.08113 0.09436035 30.60603 294.328
491.175 4312.575 74.71376 3.985818 0.08 30.5671 314.335
497.655 4312.575 78.06079 3.214351 0.1006741 32.53559 21.09511
504.135 4312.575 78.46243 3.66472 0.09611623 32.46915 32.02081
510.615 4312.575 75.21224 10.98964 0.08 30.46353 290.3804
517.095 4312.575 75.86177 20.21727 0.08 29.4013 413.4781
523.575 4312.575 75.35839 13.61242 0.08 29.54715 444.1645
530.055 4312.575 75.03746 8.043901 0.08015481 28.78413 566.4819
536.535 4312.575 78.61671 4.784193 0.1355744 27.93417 729.8291
542.475 4312.575 79.61546 5.840098 0.1477148 29.45454 489.8384
548.955 4312.575 79.42652 0.6404874 0.1985609 31.23663 214.7265
555.435 4312.575 78.06187 1.681079 0.1003171 31.37299 195.1987
561.915 4312.575 79.491 1.278393 0.1969852 31.68291 148.1978
568.395 4312.575 79.05705 0.3386052 0.1311758 31.99306 99.03974
574.875 4312.575 79.26682 0.8968132 0.3168237 31.86901 116.0051
581.355 4312.575 75.4072 17.64593 0.08 29.41575 486.1864
587.835 4312.575 75.82638 13.69267 0.09044879 27.11295 791.1408
593.775 4312.575 79.61031 8.816612 0.1483762 28.64335 588.541
600.255 4312.575 78.62106 6.961021 0.1024492 28.73949 585.5708
483.615 4312.035 74.48984 13.33512 0.08 31.98015 105.7642
490.095 4312.035 78.77186 2.783021 0.1343698 30.49876 333.6783
496.575 4312.035 78.19781 2.428287 0.09568136 32.52428 17.42608
503.055 4312.035 78.21533 2.651435 0.09777615 32.36954 33.29408
509.535 4312.035 79.57541 2.830865 0.1727646 30.96321 248.774
516.015 4312.035 74.62776 6.137224 0.08 29.86474 405.6256
522.495 4312.035 79.21911 1.827622 0.216318 29.98292 405.72
528.435 4312.035 76.17904 17.00183 0.08 28.95462 498.5034
534.915 4312.035 75.07485 12.3354 0.08 26.77137 906.348
541.395 4312.035 76.33563 6.146882 0.08757866 28.78669 577.8876
547.875 4312.035 79.51534 1.136558 0.1802129 31.10148 232.9283
554.355 4312.035 78.22837 2.426908 0.1154023 31.52139 172.4628
560.835 4312.035 77.95589 1.424593 0.1047509 31.60015 161.3811
567.315 4312.035 79.32944 0.4722098 0.2602977 32.00874 96.94392
573.795 4312.035 79.49985 0.3853588 0.2002533 31.90815 110.884
580.275 4312.035 74.49495 6.746889 0.08 29.8292 427.752
586.215 4312.035 75.83233 15.71489 0.08 27.14041 777.4894
592.695 4312.035 76.03048 16.79746 0.08 28.65776 575.0435
599.175 4312.035 78.92732 15.07318 0.09320349 28.35865 621.8429
482.535 4311.495 74.21893 3.26951 0.08 32.62151 1.801064
489.015 4311.495 78.70038 6.538198 0.1288977 30.40735 329.421
495.495 4311.495 79.91651 2.497638 0.1572495 32.52129 22.15222
503.055 4311.495 78.17784 1.952376 0.1203602 32.4011 39.34901
509.535 4311.495 78.77786 7.751288 0.1162094 30.99247 261.8586
516.015 4311.495 74.63978 5.446456 0.08 29.45077 472.1121
521.955 4311.495 75.12578 10.70793 0.08 29.57185 452.8192
528.435 4311.495 76.10525 17.30831 0.08 28.78125 549.2614
534.915 4311.495 77.84643 4.627677 0.09876946 27.0152 863.6939
541.395 4311.495 76.61692 16.57939 0.08973375 28.68105 565.5352
547.875 4311.495 75.64582 9.236799 0.08515226 30.87257 250.0862
554.355 4311.495 78.40168 1.399309 0.1174941 31.59927 161.9416
560.835 4311.495 79.5345 1.249046 0.1886686 31.65539 151.7504
567.315 4311.495 78.11302 0.1670473 0.1311758 32.00998 96.03664
573.255 4311.495 79.42943 0.5737143 0.2178869 31.93394 108.1349
579.735 4311.495 75.71598 16.79126 0.08 30.59117 315.0314
586.215 4311.495 78.445 11.35769 0.08823096 26.89382 840.5886
592.695 4311.495 75.58589 13.66929 0.08 29.15119 528.9086
599.175 4311.495 75.10099 16.08929 0.08 28.78291 580.712
483.075 4310.955 77.68331 1.590848 0.1082211 32.64027 2.050341
489.555 4310.955 75.14779 11.98172 0.08 30.59946 304.0019
496.035 4310.955 79.68608 1.494053 0.1849286 32.59164 9.033843
504.675 4310.955 77.97845 3.192632 0.1047275 32.4301 32.86671
510.615 4310.955 79.81038 10.45142 0.1766359 30.85631 253.2445
517.095 4310.955 78.42481 4.003862 0.0889696 29.31956 507.8389
523.575 4310.955 75.20521 14.83458 0.08 28.66131 550.7474
530.055 4310.955 74.93274 14.15415 0.08 27.85663 711.4568
536.535 4310.955 78.04878 5.425983 0.1150849 28.09191 699.7444
543.015 4310.955 74.97745 12.33943 0.08 29.5576 426.6466
549.495 4310.955 76.63577 6.074981 0.1039843 30.9985 231.8526
555.975 4310.955 78.38067 2.662532 0.1311758 31.52608 170.7099
562.455 4310.955 76.42104 1.786456 0.1180406 31.73502 133.3666
